Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1978-10,400.64,4.73,1.11,86.28,23.28,25.41,0.0,151.39
1978-11,199.7,2.18,0.2,84.95,22.52,24.9,0.0,90.09
1978-12,177.25,1.87,0.24,84.9,22.62,24.85,0.0,76.53
1979-01,66.51,0.18,0.0,81.43,21.46,24.2,0.0,28.3
1979-02,63.18,0.28,0.0,80.61,22.04,25.03,0.13,29.7
1979-03,84.19,0.7,0.12,77.36,22.24,25.44,0.51,42.86
1979-04,132.89,1.08,0.46,77.82,23.39,26.71,1.58,85.52
1979-05,265.37,3.37,0.49,82.14,23.76,26.58,1.02,116.56
1979-06,338.01,4.21,0.32,85.11,23.6,26.19,0.07,113.64
1979-07,341.31,4.2,0.51,85.36,23.48,26.01,0.14,115.25
1979-08,261.92,3.36,0.33,84.26,23.43,26.08,0.08,102.14
1979-09,269.18,2.84,0.25,84.78,23.24,25.93,0.02,123.5
1979-10,286.34,3.37,0.53,85.28,22.8,25.18,0.0,138.02
1979-11,204.96,1.83,0.34,85.83,22.72,25.15,0.0,72.46
1979-12,129.81,1.09,0.08,83.32,21.45,23.83,0.0,56.06
1980-01,168.86,1.58,0.13,84.4,22.03,24.24,0.0,60.58
1980-02,124.09,1.42,0.27,82.79,21.74,24.18,0.0,77.42
1980-03,92.46,0.76,0.16,79.71,22.23,25.19,0.08,56.57
1980-04,100.74,0.84,0.06,78.99,23.23,26.27,0.69,50.65
1980-05,174.71,1.43,0.34,80.94,23.88,26.81,0.56,85.73
1980-06,336.34,3.92,0.45,85.4,23.73,26.11,0.19,106.16
1980-07,315.76,3.19,0.72,85.56,23.58,25.9,0.07,112.81
1980-08,308.3,3.85,0.15,85.69,23.37,25.8,0.07,96.79
1980-09,267.59,2.63,0.19,85.99,23.48,25.76,0.0,98.44
1980-10,263.61,2.67,0.14,86.23,23.23,25.62,0.0,89.21
1980-11,268.2,2.3,0.79,85.91,23.03,25.41,0.0,144.05
1980-12,246.88,2.52,0.47,85.59,22.33,24.48,0.0,111.39
