Month,pr,r20mm,r50mm,hurs,tasmax,tas,hd35,rx5day
1972-04,231.43,1.34,0.04,86.05,29.56,24.82,0.0,70.35
1972-05,198.72,0.97,0.03,85.98,29.98,25.27,0.02,61.57
1972-06,190.83,1.52,0.27,85.64,29.6,25.15,0.0,86.36
1972-07,86.9,0.1,0.0,82.31,30.38,25.66,0.02,31.84
1972-08,220.21,1.2,0.0,84.76,29.86,24.95,0.06,62.09
1972-09,296.64,2.68,0.18,86.9,29.31,24.83,0.0,91.45
1972-10,266.1,2.13,0.05,86.35,29.69,24.87,0.02,78.21
1972-11,278.21,2.17,0.17,87.25,29.31,24.8,0.01,77.58
1972-12,257.31,1.98,0.16,88.3,28.26,24.3,0.0,84.04
1973-01,164.05,1.34,0.17,83.63,28.88,24.6,0.03,71.34
1973-02,121.3,1.0,0.07,80.41,30.05,25.3,0.43,51.9
1973-03,220.03,2.27,0.23,82.39,30.19,25.41,0.52,74.63
1973-04,283.44,2.9,0.25,86.25,30.1,25.51,0.07,95.55
1973-05,276.95,1.83,0.16,87.26,29.8,25.26,0.05,79.67
1973-06,244.39,2.17,0.35,86.15,29.92,25.42,0.07,85.62
1973-07,164.48,1.17,0.03,83.96,29.99,25.34,0.12,78.79
1973-08,223.51,2.0,0.14,85.04,29.56,24.94,0.04,82.95
1973-09,327.77,3.9,0.21,87.34,28.94,24.56,0.02,98.21
1973-10,279.51,2.5,0.1,87.05,29.38,24.86,0.01,86.67
1973-11,257.5,1.69,0.02,88.34,28.47,24.34,0.0,79.78
1973-12,317.57,3.3,0.5,88.67,27.47,23.64,0.0,106.65
1974-01,170.57,1.11,0.3,84.64,27.59,23.42,0.0,92.7
1974-02,245.27,2.18,0.18,87.05,27.96,23.73,0.0,86.23
1974-03,138.84,1.08,0.04,82.6,29.14,24.36,0.15,60.94
1974-04,232.07,1.91,0.09,86.14,29.44,24.89,0.02,81.2
1974-05,250.59,2.16,0.04,86.25,29.59,24.99,0.02,80.72
1974-06,186.26,0.98,0.01,85.41,29.53,24.94,0.02,60.73
1974-07,207.95,1.21,0.07,85.64,29.21,24.59,0.02,69.07
1974-08,157.13,0.66,0.0,84.17,29.96,25.17,0.11,55.85
1974-09,341.02,4.19,0.29,86.99,29.11,24.46,0.01,95.55
1974-10,220.41,1.49,0.07,86.26,29.19,24.66,0.07,72.21
1974-11,242.49,1.56,0.08,87.13,28.88,24.47,0.02,75.3
1974-12,236.17,1.82,0.14,86.6,28.56,24.16,0.0,76.56
1975-01,218.23,1.82,0.12,86.11,28.53,24.08,0.0,77.14
1975-02,193.97,1.95,0.27,84.25,28.9,24.31,0.02,93.7
1975-03,209.34,1.84,0.16,85.4,29.27,24.6,0.07,77.64
1975-04,200.36,1.42,0.03,84.95,30.06,25.36,0.12,70.87
1975-05,252.18,1.56,0.03,86.57,29.63,25.04,0.06,69.58
1975-06,143.03,0.51,0.02,85.04,29.45,24.97,0.06,47.71
1975-07,208.4,1.37,0.14,85.38,29.09,24.43,0.07,71.75
1975-08,171.44,1.09,0.02,83.88,29.98,25.11,0.04,68.94
1975-09,313.23,3.43,0.18,87.24,28.88,24.39,0.05,96.64
1975-10,229.69,1.96,0.14,85.22,29.34,24.64,0.24,77.39
1975-11,303.51,2.6,0.31,88.31,28.25,23.99,0.0,101.48
1975-12,287.53,2.55,0.37,88.07,27.77,23.77,0.0,98.16
1976-01,237.98,2.49,0.51,84.95,27.54,23.35,0.03,97.08
1976-02,134.53,0.8,0.11,81.56,29.0,24.15,0.16,51.79
1976-03,156.68,0.85,0.02,82.42,29.8,24.78,0.31,50.36
1976-04,226.67,1.33,0.04,84.47,29.91,24.98,0.16,74.46
1976-05,178.39,0.84,0.02,84.97,30.04,25.31,0.1,67.81
1976-06,184.71,1.1,0.02,85.49,29.47,24.76,0.0,61.84
1976-07,163.48,0.84,0.0,84.12,29.72,24.92,0.03,56.53
1976-08,243.8,2.62,0.23,84.95,29.51,24.69,0.24,96.11
1976-09,175.03,1.2,0.06,84.24,29.74,24.98,0.11,67.75
1976-10,323.15,2.98,0.12,87.86,29.11,24.59,0.0,93.29
1976-11,324.27,3.1,0.36,89.0,28.49,24.29,0.0,96.53
1976-12,214.73,1.34,0.05,87.25,28.38,24.22,0.0,72.13
1977-01,180.07,1.13,0.21,85.39,28.46,24.21,0.04,74.67
1977-02,311.71,4.13,0.76,86.46,27.91,23.95,0.06,115.69
1977-03,179.76,1.27,0.14,82.96,29.33,24.75,0.55,60.34
1977-04,173.41,1.07,0.05,83.38,30.29,25.5,0.84,57.39
1977-05,197.46,1.1,0.02,84.58,30.39,25.57,0.22,67.94
1977-06,184.98,0.9,0.01,85.68,29.85,25.13,0.05,59.75
1977-07,202.87,1.35,0.05,85.62,29.52,25.03,0.09,69.1
1977-08,201.18,1.39,0.06,85.18,29.44,24.84,0.06,65.09
1977-09,171.08,0.94,0.1,83.96,30.27,25.38,0.15,77.77
1977-10,349.96,3.52,0.22,88.19,29.06,24.69,0.04,98.18
1977-11,298.71,2.54,0.19,88.41,28.83,24.49,0.0,89.92
1977-12,237.39,2.06,0.14,86.65,28.86,24.59,0.02,77.89
1978-01,210.71,1.85,0.29,85.07,28.66,24.46,0.08,81.17
1978-02,144.29,0.96,0.14,82.82,29.4,24.87,0.6,59.85
1978-03,228.27,2.44,0.24,83.84,30.29,25.49,0.67,74.52
1978-04,191.67,1.04,0.03,84.47,30.41,25.44,0.24,61.71
1978-05,249.66,2.84,0.19,86.65,30.22,25.74,0.07,96.02
1978-06,175.98,0.94,0.02,84.44,30.21,25.45,0.22,55.56
1978-07,195.69,0.98,0.05,85.31,29.64,24.97,0.08,64.2
1978-08,139.0,0.3,0.0,83.61,30.18,25.37,0.18,41.33
1978-09,223.34,1.8,0.05,85.15,29.7,24.97,0.13,74.13
1978-10,262.28,2.02,0.1,86.03,29.62,24.96,0.14,86.0
1978-11,275.99,2.34,0.15,88.09,28.71,24.42,0.0,86.37
1978-12,264.44,2.29,0.43,86.83,28.71,24.5,0.0,100.84
1979-01,122.62,0.6,0.05,83.32,29.06,24.57,0.33,54.46
1979-02,175.45,1.57,0.17,83.22,29.92,25.09,0.39,76.32
1979-03,194.94,1.51,0.21,83.28,30.22,25.33,0.97,71.72
1979-04,235.06,1.59,0.1,85.85,30.59,25.6,0.13,75.46
1979-05,158.44,0.68,0.01,84.19,30.74,25.97,0.33,57.34
1979-06,238.26,2.04,0.15,86.62,30.01,25.52,0.06,85.69
1979-07,186.2,1.25,0.06,85.38,29.79,25.22,0.03,65.69
1979-08,157.78,1.15,0.09,82.52,30.64,25.69,0.28,69.94
1979-09,304.76,3.04,0.09,87.16,29.75,24.86,0.04,89.85
1979-10,293.32,2.67,0.1,87.01,29.79,24.99,0.15,91.65
1979-11,409.89,5.08,0.5,90.02,28.83,24.5,0.0,126.83
1979-12,213.64,1.53,0.08,86.03,28.87,24.3,0.0,70.04
1980-01,211.65,1.88,0.09,85.25,28.87,24.5,0.19,67.06
1980-02,157.02,1.05,0.06,83.19,29.6,24.85,0.37,61.0
1980-03,187.09,1.35,0.06,83.99,30.23,25.15,0.09,64.26
1980-04,259.62,2.19,0.15,86.48,30.27,25.51,0.09,82.68
1980-05,218.43,1.61,0.05,86.67,30.45,25.88,0.04,66.53
1980-06,193.93,1.13,0.0,86.39,29.9,25.54,0.06,66.56
1980-07,174.36,1.14,0.07,84.64,30.18,25.44,0.11,64.79
1980-08,222.8,1.54,0.05,86.26,29.35,24.82,0.02,69.75
1980-09,194.65,1.17,0.04,84.73,30.24,25.36,0.15,66.97
1980-10,291.96,2.58,0.11,87.56,29.58,25.04,0.03,87.89
1980-11,286.5,2.0,0.03,88.55,29.07,24.73,0.0,82.47
1980-12,304.73,3.11,0.33,88.46,28.24,24.24,0.0,98.13
